stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\Debug\allegro5.cfg r
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:252  al_install_system                [   0.00000] Allegro version: 5.2.0
system   D            wsystem.c:721  maybe_parent_dir                 [   0.00296] Also searching C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00360] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00362] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.06552] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.28130] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.28281] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.28283] al_display=01185F30
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.28285] al_display->vt=01177F18
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.28308] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.28311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28313] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28315] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28317] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28318] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28320] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28321] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28323] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28325] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28327] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28328] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28330] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28331] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28333] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28335] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28337] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28338] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28344] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28346] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28348] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28349] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28351] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28352] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28355] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28357] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28359] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28360] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28362] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28364] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28366] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28367] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28369] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.28370] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28372] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28374] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28376] Single Buffer requirement not met.
